18:53; temperature:-12
18:53; wind_speed:7
18:53; pressure:732
18:53; temperature:-10
18:53; wind_speed:16
18:53; pressure:743
18:53; temperature:-19
18:53; wind_speed:9
18:53; pressure:735
18:53; temperature:-19
18:53; wind_speed:24
18:53; pressure:727
18:53; temperature:-11
18:53; wind_speed:15
18:53; pressure:748
18:53; temperature:-20
18:53; wind_speed:22
18:53; pressure:726
18:53; temperature:-8
18:53; wind_speed:9
18:53; pressure:726
18:54; temperature:-13
18:54; wind_speed:6
18:54; pressure:742
18:54; temperature:-20
18:54; wind_speed:11
18:54; pressure:722
18:54; temperature:-15
18:54; wind_speed:22
18:54; pressure:723
20:01; temperature:-9
20:01; wind_speed:6
20:01; pressure:748
20:01; temperature:-16
20:01; wind_speed:14
20:01; pressure:750
